"Category","Reference/Item","Qty","Value/Spec","Manufacturer/Notes","price"
"Electronics","A1-A7","7","Pololu_A4988","Motor Drivers",""
"Electronics","C1-C7","7","100uF_35V","Electrolytic Capacitor",""
"Electronics","J2,J4-J9","7","Conn_01x04","Header Pins",""
"Electronics","J3","1","Conn_01x03","Header Pins",""
"Electronics","J10","1","Mini360_Module","Buck Converter",""
"Electronics","microcontroller","1","esp32 WROOM D","System brain",""
"Electronics","J11","1","2_Pin_Term_Block","5.00mm Pitch",""
"Electronics","J12,J13","2","Conn_01x19","Pin Socket",""
"Electronics","U1,U2","2","74HC595","Shift Register",""
"Electronics","Power Supply","1","24V 15A","Main System PSU",""
"Mechanical","Stepper Motors","7","NEMA 17 (42HS60)","1.8 Degree Step",""
"Mechanical","Bearings","100","MR105ZZ (10x5x4mm)","Steel Shielded",""
"Mechanical","Bearings","100","6806 (42x30x7mm)","Steel Shielded",""
"Mechanical","Screws","100","M3 x 10mm","Socket Head Cap",""
"Mechanical","Heat-Set Inserts","100","M3 Brass Insert","For PETG",""
"Mechanical","Filament","3kg","PETG 1.75mm","Chassis Material",""
